CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE	IDT_CODE
HMH	CTCP Hải Minh	Hai Minh Corporation	HNX	Industrials	2010/07/28	5438790	2010/07/28	32300	2010/07/28	5438790		5438790	2099/12/31	IN
HNM	CTCP Sữa Hà Nội	Hanoimilk Jsc	HNX	Consumer Goods	2006/12/27	7049500	2006/12/27	59500	2006/12/27	7049500		7049500	2099/12/31	CG
HOM	CTCP Xi măng VICEM Hoàng Mai	Hoang Mai Cement Jsc	HNX	Industrials	2009/07/09	72000000	2009/07/09	17000	2009/07/09	72000000		72000000	2099/12/31	IN
HOT	CTCP Du lịch Dịch vụ Hội An	Hoi An Torurist Service Joint Stock	HSX	Consumer Services	2011/07/13	8000000	2011/07/21	14100	2011/07/21	8000000		8000000	2099/12/31	CS
HPB	CTCP Bao bì PP	Pp Pack Marking Jsc	HNX	Industrials	2010/04/29	3880000	2010/04/29	60000	2010/04/29	3880000		3880000	2099/12/31	IN
HPC	CTCP Chứng khoán Hải Phòng	Haiphong Securities Jsc	HNX	Financials	2006/12/15	5000000	2006/12/15	54300	2006/12/15	5000000		5000000	2099/12/31	FI
HPG	CTCP Tập đoàn Hòa Phát	Hoa Phat Group Jsc	HSX	Basic Materials	2007/10/31	132000000	2007/11/15	127000	2007/11/15	132000000		132000000	2099/12/31	BM
HPL	Bến xe Tàu phà Cần Thơ	Can Tho Ferry - Bridge Standage Jsc	UPC	Industrials	2010/01/26	2000000	2010/01/26		2010/01/26	2000000		2000000	2099/12/31	IN
HPP	Sơn Hải Phòng	Hai Phong Paint Jsc	UPC	Industrials	2010/08/05	5900000	2010/08/05	55000	2010/08/05	5900000		5900000	2099/12/31	IN
HPR	CTCP Đầu tư Xây dựng Hồng Phát	Hong Phat Construction Investment Jsc	HNX	Industrials	2011/05/12	4800000	2011/05/12	23500	2011/05/12	4800000		4800000	2099/12/31	IN
HPS	CTCP Đá Xây dựng Hoà Phát	Hoa Phat Construction Stone Jsc	HNX	Industrials	2006/12/25	1565250	2006/12/25	15000	2006/12/25	1565250		1565250	2099/12/31	IN
HPT	DV Công nghệ Tin học HPT	Hpt Viet Nam Corporation	UPC	Technology	2010/06/17	5989299	2010/06/17	18500	2010/06/17	5989299		5989299	2099/12/31	TE
HQC	CTCP Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân	Hoang Quan Consulting – Trading – Service Real Estate Corporation 	HSX	Financials	2010/10/12	40000000	2010/10/20	31000	2010/10/20	40000000		40000000	2099/12/31	FI
HRC	CTCP Cao su Hòa Bình	Hoa Binh Rubber Jsc	HSX	Basic Materials	2006/11/22	9600000	2006/12/26	142000	2006/12/26	9600000		9600000	2099/12/31	BM
HSG	CTCP Tập đoàn Hoa Sen	Hoa Sen Group	HSX	Basic Materials	2008/11/05	57038500	2008/12/05	32000	2008/12/05	57038500		57038500	2099/12/31	BM
HSI	CTCP Vật tư Tổng hợp và Phân bón Hóa sinh	General Materials Biochemistry Fertilizer Jsc 	HSX	Basic Materials	2007/12/12	10000000	2007/12/21	45000	2007/12/21	10000000		10000000	2099/12/31	BM
HST	CTCP Phát hành sách và Thiết bị trường học Hưng Yên	Hung Yen Book Publishing And Educational Equipment Jsc	HNX	Consumer Services	2009/12/29	1500000	2009/12/29	13000	2009/12/29	1500000		1500000	2099/12/31	CS
HT1	CTCP Xi măng Hà Tiên 1	Ha Tien 1 Cement Jsc	HSX	Industrials	2007/10/31	87000000	2007/11/13	60500	2007/11/13	87000000		87000000	2099/12/31	IN
HTB	CTCP Xây dựng Huy Thắng	Huy Thang Construction Jsc	HNX	Industrials	2010/10/19	1800000	2010/10/19	13700	2010/10/19	1800000		1800000	2099/12/31	IN
HTC	CTCP Thương mại Hóc Môn	Hocmon Trade Jsc	HNX	Utilities	2010/05/07	3500000	2010/05/07	74000	2010/05/07	3500000		3500000	2099/12/31	UT
HTI	CTCP Đầu tư Phát triển Hạ tầng IDICO	Idico Infrastructure Development Investment Jsc	HSX	Industrials	2010/12/09	24949200	2010/12/20	20000	2010/12/20	24949200		24949200	2099/12/31	IN
HTL	CTCP Kỹ thuật và Ô tô Trường Long	Truong Long Engineering And Auto Jsc	HSX	Consumer Goods	2010/10/19	8000000	2011/01/10	23500	2011/01/10	8000000		8000000	2099/12/31	CG
HTP	CTCP In sách Giáo khoa Hoà Phát	Hoaphat Textbook Printing Jsc	HNX	Consumer Services	2006/12/14	900000	2006/12/14	27600	2006/12/14	900000		900000	2099/12/31	CS
HTV	CTCP Vận tải Hà Tiên	Ha Tien Transport Jsc 	HSX	Industrials	2005/12/07	4800000	2006/01/05	17000	2006/01/05	4800000		4800000	2099/12/31	IN
HU1	CTCP đầu tư và xây dựng HUD1	Hud1 Investment & Construction Jsc	HSX	Industrials	2011/10/20	10000000	2011/11/03	10900	2010/05/25	5000000		10000000	2099/12/31	IN
HU1	CTCP đầu tư và xây dựng HUD1	Hud1 Investment & Construction Jsc	UPC	Industrials	2010/05/25	5000000	2010/05/25	20000				5000000	2011/10/05	IN
HU3	CTCP đầu tư và xây dựng HUD3	Hud3 Investment And Construction Jsc	HSX	Industrials	2011/03/02	9999944	2011/03/18	23000	2011/03/18	9999944		9999944	2099/12/31	IN
HUT	CTCP Tasco	Tasco Jsc	HNX	Industrials	2008/04/04	5500000	2008/04/11	31500	2008/04/11	5500000		5500000	2099/12/31	IN
HVC	Chế biến lâm sản Hưng Vượng	Prosper Jsc	UPC	Basic Materials	2010/10/27	6920750	2010/10/27	10000	2010/10/27	6920750		6920750	2099/12/31	BM
HVG	CTCP Hùng Vương	Hung Vuong Corporation	HSX	Consumer Goods	2009/11/16	59999993	2009/11/25	57500	2009/11/25	59999993		59999993	2099/12/31	CG
HVT	CTCP Hóa Chất Việt Trì	Viet Tri Chemicals Jsc	HNX	Basic Materials	2009/05/08	4438713	2009/05/08	26500	2009/05/08	4438713		4438713	2099/12/31	BM
HVX	CTCP xi măng Vicem Hải Vân	Hai Van Cement Jsc	HSX	Industrials	2010/08/31	15500000	2010/09/28	10400	2010/09/28	15500000		15500000	2099/12/31	IN
I40	Xây dựng HUD101	40 Investment And Construction Jsc	UPC	Industrials	2011/03/15	1539120	2011/03/15		2011/03/15	1539120		1539120	2099/12/31	IN
ICF	CTCP Đầu tư Thương mại Thủy sản	Investment Commerce Fisheries Corporation	HSX	Consumer Goods	2006/12/18	11800000	2006/12/18	42000	2006/12/18	11800000		11800000	2099/12/31	CG
ICF	CTCP Đầu tư Thương mại Thủy sản	Investment Commerce Fisheries Corporation	HNX	Consumer Goods		11800000	2006/12/18	30200				11800000	2007/12/03	CG
ICG	CTCP Xây dựng Sông Hồng	Song Hong Construction Jsc	HNX	Industrials	2009/04/21	15000000	2009/04/21	13900	2009/04/21	15000000		15000000	2099/12/31	IN
ICI	Đầu tư và XD Công nghiệp	Industrial Construction & Investment Jsc	UPC	Industrials	2010/07/06	3000000	2010/07/06	0	2010/07/06	3000000		3000000	2099/12/31	IN
IDI	CTCP Đầu tư và Phát triển Đa Quốc Gia	International Development & Investment Corporation 	HSX	Consumer Goods	2011/05/17	38000000	2011/06/30	14400	2011/06/30	38000000		38000000	2099/12/31	CG
IDJ	CTCP Đầu tư Tài chính Quốc tế và Phát triển Doanh nghiệp IDJ	Idj International Financial Investment And Enterprise	HNX	Financials	2010/09/13	32600000	2010/09/13	17200	2010/09/13	32600000		32600000	2099/12/31	FI
IDV	CTCP Phát triển hạ tầng Vĩnh Phúc	Vinh Phuc Infrastructure Development Jsc	HNX	Financials	2010/06/01	3528500	2010/06/01	43000	2010/06/01	3528500		3528500	2099/12/31	FI
IFS	CTCP Thực phẩm Quốc tế	Interfood Shareholding Company	HSX	Consumer Goods	2006/09/29	5729472	2006/10/17	50000	2006/10/17	5729472		5729472	2099/12/31	CG
IHK	In Hàng Không	Aviation Printing Jsc	UPC	Consumer Services	2010/03/04	1700000	2010/03/04	19500	2010/03/04	1700000		1700000	2099/12/31	CS
IJC	CTCP Phát triển Hạ tầng Kỹ thuật	Becamex Infrastructure Development Jsc. 	HSX	Financials	2010/04/05	54838905	2010/04/19	36000	2010/04/19	54838905		54838905	2099/12/31	FI
ILC	CTCP Hợp tác Lao động với Nước ngoài	International Labor And Services Jsc	HNX	Industrials	2005/12/26	600000	2005/12/26	18000	2005/12/26	600000		600000	2099/12/31	IN
IME	Xây lắp Công nghiệp	Mechanical & Industrial Construction Jsc	UPC	Industrials	2009/12/01	3000000	2009/12/01	0	2009/12/01	3000000		3000000	2099/12/31	IN
IMP	CTCP Dược phẩm Imexpharm	Imexpharm Pharmaceutical Jsc 	HSX	Health Care	2006/11/15	8400000	2006/12/04	100000	2006/12/04	8400000		8400000	2099/12/31	HC
IMT	IMEXCO	Hcmc General Import Export & Investment.	UPC	Consumer Services	2010/05/04	3000000	2010/05/04	0	2010/05/04	3000000		3000000	2099/12/31	CS
IN4	In số 4	No.4 Printing Jsc	UPC	Consumer Services	2010/05/19	1200000	2010/05/19	0	2010/05/19	1200000		1200000	2099/12/31	CS
INC	CTCP Tư vấn đầu tư IDICO	Idico Investment Consultancy Jsc	HNX	Industrials	2011/07/14	1800000	2011/07/14	13200	2011/07/14	1800000		1800000	2099/12/31	IN
INN	CTCP Bao bì và In Nông nghiệp	Agriculture Printing And Packaging Jsc	HNX	Industrials	2010/01/22	5400000	2010/01/22	22000	2010/01/22	5400000		5400000	2099/12/31	IN
ITA	CTCP Đầu tư Công nghiệp Tân Tạo	Tan Tao Investment Industry Corporation	HSX	Financials	2006/01/11	45000000	2006/11/15	54000	2006/11/15	45000000		45000000	2099/12/31	FI
ITC	CTCP Đầu tư - Kinh doanh Nhà	Investment And Trading Of Real Estate Jsc	HSX	Financials	2009/09/24	23028896	2009/10/19	66000	2009/10/19	23028896		23028896	2099/12/31	FI
ITD	CTCP Công nghệ Tiên Phong	Innovative Technology Development Corporation	HSX	Technology	2011/12/13	11610399	2011/12/20	10000	2009/12/04	11610399		11610399	2099/12/31	TE
ITD	CTCP Công nghệ Tiên Phong	Innovative Technology Development Corporation	UPC	Technology	2009/04/12	11610399	2009/04/12	26000				11610399	2011/12/02	TE
ITQ	CTCP Tập đoàn Thiên Quang	Thien Quang Group Joint Stock Company	HNX	Basic Materials	2012/10/01	10000000	2012/10/01	12900	2012/10/01	10000000		10000000	2099/12/31	BM
IVS	CTCP Chứng Khoán Đầu Tư Việt Nam	Vietnam Investment Securities Company	HNX	Financials	2011/05/31	16100000	2011/08/01	7000	2011/08/01	16100000		16100000	2099/12/31	FI
JSC	XD Cầu đường Hà Nội	Ha Noi Civil Construction & Investment Jsc	UPC	Industrials	2010/04/22	1550000	2010/04/22	0	2010/04/22	1550000		1550000	2099/12/31	IN
JVC	CTCP Thiết bị Y tế Việt Nhật	Viet Nhat Medical Instrument Jsc	HSX	Health Care	2011/06/01	24200000	2011/06/21	24800	2011/06/21	24200000		24200000	2099/12/31	HC
KAC	CTCP Đầu tư Địa ốc Khang An	Khang An Investment Real Estate Jsc	HSX	Financials	2010/10/08	20000000	2010/10/27	31900	2010/10/27	20000000		20000000	2099/12/31	FI
KBC	Tổng Công ty Phát triển Đô Thị Kinh Bắc – CTCP	Block B7, Que Vo Industrial Park, Phuong Lieu Commune, Que Vo District, Bac Ninh Province.	HSX	Financials	2007/12/18	88000000	2007/12/18	56000	2007/12/18	88000000		88000000	2099/12/31	FI
KBC	Tổng Công ty Phát triển Đô Thị Kinh Bắc – CTCP	Block B7, Que Vo Industrial Park, Phuong Lieu Commune, Que Vo District, Bac Ninh Province.	HNX	Financials		88000000	2007/12/18	162000				88000000	2009/12/08	FI
KBE	Sách TBTH Kiên Giang	Kien Giang Book And Equipment Jsc	UPC	Consumer Services	2010/03/01	1231060	2010/03/01		2010/03/01	1231060		1231060	2099/12/31	CS
KBT	CTCP Gạch ngói Kiên Giang	Kien Giang Brick Tile Jsc	HNX	Industrials	2010/07/29	2335961	2010/07/29	25000	2010/07/29	2335961		2335961	2099/12/31	IN
KCE	Đầu tư và XD 40	Khanh Hoa Power Centrifugal Concrete Jsc	UPC	Industrials	2011/02/08	1500000	2011/02/08	0	2011/02/08	1500000		1500000	2099/12/31	IN
KDC	CTCP Kinh Đô	Kinh Do Corporation 	HSX	Consumer Goods	2005/11/18	25000000	2005/12/12	59000	2005/12/12	25000000		25000000	2099/12/31	CG
KDH	CTCP Đầu tư và Kinh doanh Nhà Khang Điền	Khang Dien House Trading And Investment Jsc. 	HSX	Financials	2010/01/21	33200000	2010/02/01	48000	2010/02/01	33200000		33200000	2099/12/31	FI
KHA	CTCP Xuất Nhập Khẩu Khánh Hội	Khanh Hoi Import Export Jsc	HSX	Financials	2002/08/14	3135000	2002/08/19	21500	2002/08/19	3135000		3135000	2099/12/31	FI
KHB	CTCP Khoáng sản Hòa Bình	Hoabinh Mineral Jsc	HNX	Basic Materials	2010/05/19	1270000	2010/05/19	58000	2010/05/19	1270000		1270000	2099/12/31	BM
KHL	CTCP Khoáng sản và vật liệu xây dựng Hưng Long	Hung Long Mineral And Building Material JSC	HNX	Industrials	2012/02/21	5600000	2012/02/21	5900	2012/02/21	5600000		5600000	2099/12/31	IN
KHP	CTCP Điện lực Khánh Hòa	Khanh Hoa Power Jsc	HSX	Utilities	2006/12/08	16322100	2005/07/14	24500	2005/07/14	16322100		16322100	2099/12/31	UT
KHP	CTCP Điện lực Khánh Hòa	Khanh Hoa Power Jsc	HNX	Utilities		16322100	2005/07/14	15000				16322100	2006/12/12	UT
KKC	CTCP Sản xuất và Kinh doanh Kim khí	Produce And Trading Metal Jsc	HNX	Basic Materials	2008/08/21	5200000	2008/08/21	108000	2008/08/21	5200000		5200000	2099/12/31	BM
KLS	CTCP Chứng khoán Kim Long	Kim Long Securities Corporation	HNX	Financials	2008/01/28	30650000	2008/01/28	53000	2008/01/28	30650000		30650000	2099/12/31	FI
KMR	CTCP MIRAE	Mirae Jsc	HSX	Consumer Goods	2008/06/23	7236850	2008/06/30	48000	2008/06/30	7236850		7236850	2099/12/31	CG
KMT	CTCP Kim Khí Miền Trung	Central Vietnam Metal Corporation	HNX	Basic Materials	2010/12/15	9846562	2010/12/15	14500	2009/08/10	8870885		9846562	2099/12/31	BM
KMT	CTCP Kim Khí Miền Trung	Central Vietnam Metal Corporation	UPC	Basic Materials	2009/08/10	8870885	2009/10/08	15000				8870885	2010/11/30	BM
KSA	CTCP Công Nghiệp Khoáng sản Bình Thuận	Binh Thuan Hamico Mineral Jsc	HSX	Basic Materials	2010/07/07	12868800	2010/07/27	60000	2010/07/27	12868800		12868800	2099/12/31	BM
KSB	CTCP Khoáng sản và Xây dựng Bình Dương	Binh Duong Mineral And Construction Jsc. 	HSX	Basic Materials	2009/12/17	10700000	2010/01/20	42000	2010/01/20	10700000		10700000	2099/12/31	BM
KSC	Muối Khánh Hòa	Khanh Hoa Salt Jsc	UPC	Consumer Goods	2010/05/28	3739823	2010/05/28	0	2010/05/28	3739823		3739823	2099/12/31	CG
KSD	Tổng CTCP Xuất nhập khẩu Đông Nam Á HAMICO	South East Asia Hamico Export Jsc	HNX	Consumer Goods	2010/04/28	5688000	2010/04/28	50500	2010/04/28	5688000		5688000	2099/12/31	CG
KSH	CTCP Tập đoàn Khoáng sản Hamico	Hamico Group Mineral Jsc	HSX	Basic Materials	2008/11/03	11690000	2008/11/12	20000	2008/11/12	11690000		11690000	2099/12/31	BM
KSS	Tổng CTCP khoáng sản Na Rì Hamico	Nari Hamico Minerals Jsc	HSX	Basic Materials	2009/12/25	11800000	2010/01/04	60000	2010/01/04	11800000		11800000	2099/12/31	BM
KST	CTCP KASATI	Kasati Jsc	HNX	Technology	2010/09/30	2996010	2010/12/29	25500	2010/12/29	2996010		2996010	2099/12/31	TE
KTB	CTCP Đầu tư Khoáng sản Tây Bắc	Tay Bac Minerals Investment Jsc	HSX	Basic Materials	2010/09/24	26800000	2010/10/01	40000	2010/10/01	26800000		26800000	2099/12/31	BM
KTS	CTCP Đường Kon Tum	Kon Tum Sugar Jsc 	HNX	Consumer Goods	2010/12/31	3000000	2010/12/31	41000	2010/12/31	3000000		3000000	2099/12/31	CG
KTT	CTCP Đầu tư Thiết bị và Xây lắp Điện Thiên Trường	Thien Truong Power Equipment Investment And Construction Jsc	HNX	Industrials	2010/10/28	2500000	2010/10/28	16100	2010/10/28	2500000		2500000	2099/12/31	IN
L10	CTCP Lilama 10	Lilama 10 Jsc	HSX	Industrials	2007/12/11	9000000	2007/12/25	50000	2007/12/25	9000000		9000000	2099/12/31	IN
L14	CTCP Licogi 14	Licogi 14 Jsc	HNX	Industrials	2011/09/13	2830000	2011/09/13	12200	2011/09/13	2830000		2830000	2099/12/31	IN
L18	CTCP Đầu tư và Xây dựng số 18	Investment And Construction Jsc No.18	HNX	Industrials	2008/04/23	3500000	2008/04/23	20300	2008/04/23	3500000		3500000	2099/12/31	IN
L35	CTCP CƠ KHÍ LẮP MÁY LILAMA	Lilama Erection Mechanical Jsc	HNX	Industrials	2010/03/25	3265155	2010/03/25	14800	2010/03/25	3265155		3265155	2099/12/31	IN
L43	CTCP Lilama 45.3	Lilama 45.3 Jsc	HNX	Industrials	2008/06/11	3500000	2008/06/11	14900	2008/06/11	3500000		3500000	2099/12/31	IN
L44	CTCP Lilama 45.4	Lilama 45.4 Jsc	HNX	Industrials	2009/12/21	4000000	2009/12/21	16500	2009/12/21	4000000		4000000	2099/12/31	IN
L61	CTCP Lilama 69.1	Lilama 69-1 Jsc	HNX	Industrials	2008/11/19	7015000	2008/11/19	13700	2008/11/19	7015000		7015000	2099/12/31	IN
L62	CTCP Lilama 69.2	Lilama 69-2 Jsc	HNX	Industrials	2008/04/21	3000000	2008/04/21	39000	2008/04/21	3000000		3000000	2099/12/31	IN
LAF	CTCP Chế biến Hàng xuất khẩu Long An	Long An Food Processing Export Jsc	HSX	Consumer Goods	2000/12/11	1909840	2000/12/15	17000	2000/12/15	1909840		1909840	2099/12/31	CG
LAS	CTCP Supe Phốt phát và Hóa chất Lâm Thao	Lam Thao Fertilizers And Chemicals JSC	HNX	Basic Materials	2012/03/01	54050000	2012/03/01	22100	2012/03/01	54050000		54050000	2099/12/31	BM
LBE	CTCP Sách và Thiết bị Trường học Long An	Long An Book And Educational Equipment Jsc	HNX	Consumer Services	2008/02/22	1100000	2008/02/22	39900	2008/02/22	1100000		1100000	2099/12/31	CS
LBM	CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng	Lam Dong Mineral And Building Material Jsc	HSX	Industrials	2006/11/30	1639160	2006/12/20	39900	2006/12/20	1639160		1639160	2099/12/31	IN
LCC	Xi măng Lạng Sơn	Lang Son Cement Jsc	UPC	Industrials	2010/05/06	4900000	2010/05/06	0	2010/05/06	4900000		4900000	2099/12/31	IN
LCD	CTCP Lilama Thí nghiệm Cơ điện	Lilama - Electromechanics Testing Jsc	HNX	Industrials	2010/11/15	1324000	2010/11/15	10800	2010/11/15	1324000		1324000	2099/12/31	IN
LCG	CTCP LICOGI 16	Licogi 16 Jsc	HSX	Industrials	2008/10/17	13600000	2008/11/18	48000	2008/11/18	13600000		13600000	2099/12/31	IN
LCM	CTCP Khai thác và Chế biến Khoáng sản Lào Cai	Lao Cai Mineral Exploitation & Processing Jsc	HSX	Basic Materials	2011/09/08	8568000	2011/09/16	22900	2011/09/16	8568000		8568000	2099/12/31	BM
LCS	CTCP LICOGI 16.6	Licogi 16.6 Jsc	HNX	Industrials	2010/07/06	2500000	2010/07/06	43000	2010/07/06	2500000		2500000	2099/12/31	IN
LDP	CTCP Dược Lâm Đồng – Ladophar	Lamdong Pharmaceutical Jsc	HNX	Health Care	2010/07/20	1700000	2010/07/20	80000	2010/07/20	1700000		1700000	2099/12/31	HC
LGC	CTCP Cơ khí - Điện Lữ Gia	Lu Gia Mechanical Electric Jsc	HSX	Industrials	2006/11/29	1000000	2006/12/27	40500	2006/12/27	1000000		1000000	2099/12/31	IN
LGL	CTCP Đầu tư và Phát triển Đô thị Long Giang	Long Giang Investment And Urban Development Jsc	HSX	Financials	2009/09/23	8000000	2009/10/08	36000	2009/10/08	8000000		8000000	2099/12/31	FI
LHC	CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng	Lam Dong Investment Hydraulic Construction Joint Stock	HNX	Industrials	2010/01/13	2000000	2010/01/13	60000	2010/01/13	2000000		2000000	2099/12/31	IN
LHG	CTCP Long Hậu	Long Hau Corporation. 	HSX	Financials	2010/03/15	20000000	2010/03/23	48000	2010/03/23	20000000		20000000	2099/12/31	FI
LIG	CTCP LICOGI 13	Licogi 13 Jsc	HNX	Industrials	2010/04/22	6000000	2010/04/22	49500	2010/04/22	6000000		6000000	2099/12/31	IN
LIX	CTCP Bột giặt LIX	Lix Detergent Jsc	HSX	Consumer Goods	2009/12/01	9000000	2009/12/10	61500	2009/12/10	9000000		9000000	2099/12/31	CG
LKW	CTCP Cấp Nước Long Khánh	Long Khanh Water Supply Joint Stock Company	UPC	Utilities	2012/05/30	2500000	2012/07/04	0	2012/07/04	2500000		2500000	2099/12/31	UT
LM3	Công ty cổ phần Lilama 3	Lilama3 Jsc	HNX	Industrials	2009/12/01	5150000	2009/12/01	18500	2009/12/01	5150000		5150000	2099/12/31	IN
LM7	CTCP Lilama 7	Lilama 7 Jsc	HNX	Industrials	2010/10/28	4957000	2010/10/28	11000	2010/10/28	4957000		4957000	2099/12/31	IN
LM8	CTCP Lilama 18	Lilama 18 Jsc 	HSX	Industrials	2010/11/05	8050000	2010/11/15	17000	2010/11/15	8050000		8050000	2099/12/31	IN
LO5	CTCP Lilama 5	Lilama 5 Jsc	HNX	Industrials	2009/12/21	5000000	2009/12/21	16500	2009/12/21	5000000		5000000	2099/12/31	IN
LSS	CTCP Mía đường Lam Sơn	Lam Son Sugar JCC	HSX	Consumer Goods	2007/12/21	30000000	2008/01/09	39000	2008/01/09	30000000		30000000	2099/12/31	CG
LTC	CTCP Điện nhẹ Viễn Thông	Low Current - Telecom Jsc	HNX	Technology	2006/12/14	700000	2006/12/14	45000	2006/12/14	700000		700000	2099/12/31	TE
LUT	CTCP Đầu tư Xây dựng Lương Tài	Luong Tai Construction Jsc	HNX	Industrials	2008/01/04	5550000	2008/01/04	67000	2008/01/04	5550000		5550000	2099/12/31	IN
MAC	CTCP Cung ứng và Dịch vụ kỹ thuật Hàng hải	Marine Supply And Engineering Service Jsc	HNX	Industrials	2009/12/24	3200000	2009/12/24	18900	2009/12/24	3200000		3200000	2099/12/31	IN
MAS	Sân bay Đà Nẵng	Middle Airports Services Jsc	UPC	Consumer Services	2009/09/09	1669115	2009/09/09	20000	2009/09/09	1669115		1669115	2099/12/31	CS
MAX	CTCP KHAI KHOÁNG VÀ CƠ KHÍ HỮU NGHỊ VĨNH SINH	Huu Nghi Vinh Sinh Mining & Mecanic	HNX	Basic Materials	2011/09/15	7200000	2011/09/15	19000	2010/09/15	7200000		7200000	2099/12/31	BM
MAX	CTCP KHAI KHOÁNG VÀ CƠ KHÍ HỮU NGHỊ VĨNH SINH	Huu Nghi Vinh Sinh Mining & Mecanic	UPC	Basic Materials		7200000	2010/09/15	24800				7200000	2011/06/16	BM
MBB	Ngân hàng Thương mại Cổ phần Quân Đội	Military Commercial Joint Stock Bank	HSX	Banks	2011/10/18	730000000	2011/11/01	13800	2011/11/01	730000000		730000000	2099/12/31	BA
MCC	CTCP gạch ngói cao cấp	High – Grade Brick - Tile Co-Operation	HNX	Industrials	2010/04/26	4668300	2010/04/26	30100	2010/04/26	4668300		4668300	2099/12/31	IN
MCF	CTCP Xây lắp Cơ khí Lương thực Thực phẩm	Mechanics Contruction & Foodstuff Jsc	HNX	Consumer Goods	2011/02/14	3500000	2011/02/14	17500	2011/02/14	3500000		3500000	2099/12/31	CG
MCG	CTCP Cơ điện và Xây dựng Việt Nam	Vietnam Mechanization Electrification & Construction Jsc	HSX	Industrials	2009/09/16	13200000	2009/09/24	30000	2009/09/24	13200000		13200000	2099/12/31	IN
MCL	CTCP Phát triển nhà và Sản xuất vật liệu xây dựng Chí Linh	Chi Linh Building Materials And House Development Jsc	HNX	Industrials	2010/12/13	2220000	2010/12/13	20400	2010/12/13	2220000		2220000	2099/12/31	IN
MCO	CTCP MCO Việt Nam	Mco Vietnam Jsc	HNX	Industrials	2006/12/21	1100000	2006/12/21	30800	2006/12/21	1100000		1100000	2099/12/31	IN
MCP	CTCP In và Bao bì Mỹ Châu	My Chau Printing & Packaging Holding Company	HSX	Industrials	2006/12/18	3000000	2006/12/28	40000	2006/12/28	3000000		3000000	2099/12/31	IN
MCV	CTCP Cavico Việt Nam Khai thác Mỏ và Xây dựng 	Cavico Viet Nam Mining And Construction Jsc	HSX	Industrials	2006/11/15	3100000	2006/12/11	42000	2006/12/11	3100000		3100000	2099/12/31	IN
MDC	CTCP Than Mông Dương - TKV	Vinacomin - Mong Duong Coal Jsc	HNX	Basic Materials	2009/07/23	12085000	2009/07/23	24000	2009/07/23	12085000		12085000	2099/12/31	BM
MDF	Bê tông Ly tâm ĐL Khánh Hòa	Mdf Vrg Quang Tri  Wood Jsc	UPC	Basic Materials	2011/02/25	34445997	2011/02/25		2011/02/25	34445997		34445997	2099/12/31	BM
MDG	CTCP Miền Đông	Mien Dong Jsc	HSX	Industrials	2011/01/05	9900000	2011/01/12	20000	2011/01/12	9900000		9900000	2099/12/31	IN
MEC	CTCP Someco Sông Đà	Song Da Someco Jsc	HNX	Industrials	2006/12/14	1000000	2006/12/14	21500	2006/12/14	1000000		1000000	2099/12/31	IN
MEF	Công ty cổ phần MEINFA	MEINFA Joint Stock Company	UPC	Health Care	2011/09/30	2900000	2011/11/30	34000	2011/11/30	2900000		2900000	2099/12/31	HC
MHC	CTCP Hàng hải Hà Nội	Hanoi Maritime Holding Company	HSX	Industrials	2004/12/31	6705640	2005/03/21	19000	2005/03/21	6705640		6705640	2099/12/31	IN
MHL	CTCP Minh Hữu Liên	Minh Huu Lien Jsc	HNX	Basic Materials	2009/11/26	2000000	2009/11/26	18000	2009/11/26	2000000		2000000	2099/12/31	BM
MIC	CTCP Kỹ nghệ Khoáng sản Quảng Nam	Quang Nam Mineral Industry Corporation	HNX	Basic Materials	2007/12/21	1295000	2007/12/21	286000	2007/12/21	1295000		1295000	2099/12/31	BM
MIH	CTCP Xuất Nhập khẩu Khoáng sản Hà Nam	Ha Nam Import Export Jsc	HNX	Basic Materials	2010/06/29	4000000	2010/06/29	51000	2010/06/29	4000000		4000000	2099/12/31	BM
MIM	CTCP Khoáng sản và Cơ khí	Mineral And Mechanical Jsc	HNX	Basic Materials	2010/08/16	2032895	2010/08/16	35000	2010/08/16	2032895		2032895	2099/12/31	BM
MJC	Thương mại Mộc Hóa	Moc Hoa Trading Jsc	UPC	Consumer Services	2010/07/28	1596620	2010/07/28	20000	2010/07/28	1596620		1596620	2099/12/31	CS
MKP	CTCP Hóa - Dược phẩm MEKOPHAR	Mekophar Chemical Pharmaceutical Jsc	HSX	Health Care	2010/05/17	9210000	2010/06/02	72000	2010/06/02	9210000		9210000	2012/07/12	HC
MKV	CTCP Dược Thú y Cai Lậy	Cai Lay Veterinary Pharmaceutical Jsc	HNX	Health Care	2008/11/21	1000000	2008/11/21	16600	2008/11/21	1000000		1000000	2099/12/31	HC
MMC	CTCP Khoáng sản Mangan	Manganese Mineral Jsc	HNX	Basic Materials	2008/07/28	1200000	2008/07/28	65000	2008/07/28	1200000		1200000	2099/12/31	BM
MNC	CTCP Tập đoàn Mai Linh Bắc Trung Bộ	Mai Linh Corporation In Northern Central	HNX	Industrials	2010/12/16	7017130	2010/12/16	10100	2010/12/16	7017130		7017130	2099/12/31	IN
